Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705194530,192.168.1.2,37274,192.168.1.3,5001,1,67.0-68.0,193890096,1551120768
20220705194531,192.168.1.2,37274,192.168.1.3,5001,1,68.0-69.0,178235768,1425886144
20220705194532,192.168.1.2,37274,192.168.1.3,5001,1,69.0-70.0,192363904,1538911232
20220705194533,192.168.1.2,37274,192.168.1.3,5001,1,70.0-71.0,194910936,1559287488
20220705194534,192.168.1.2,37274,192.168.1.3,5001,1,71.0-72.0,184570768,1476566144
20220705194535,192.168.1.2,37274,192.168.1.3,5001,1,72.0-73.0,191716648,1533733184
20220705194536,192.168.1.2,37274,192.168.1.3,5001,1,73.0-74.0,191987424,1535899392
20220705194537,192.168.1.2,37274,192.168.1.3,5001,1,74.0-75.0,197333440,1578667520
20220705194538,192.168.1.2,37274,192.168.1.3,5001,1,75.0-76.0,177647880,1421183040
20220705194539,192.168.1.2,37274,192.168.1.3,5001,1,76.0-77.0,194883424,1559067392
20220705194540,192.168.1.2,37274,192.168.1.3,5001,1,77.0-78.0,194987680,1559901440
20220705194541,192.168.1.2,37274,192.168.1.3,5001,1,78.0-79.0,136778080,1094224640
20220705194542,192.168.1.2,37274,192.168.1.3,5001,1,79.0-80.0,195131032,1561048256
20220705194543,192.168.1.2,37274,192.168.1.3,5001,1,80.0-81.0,176270832,1410166656
20220705194544,192.168.1.2,37274,192.168.1.3,5001,1,81.0-82.0,197397152,1579177216
20220705194545,192.168.1.2,37274,192.168.1.3,5001,1,82.0-83.0,195343888,1562751104
20220705194546,192.168.1.2,37274,192.168.1.3,5001,1,83.0-84.0,195199088,1561592704
20220705194547,192.168.1.2,37274,192.168.1.3,5001,1,84.0-85.0,195957840,1567662720
20220705194548,192.168.1.2,37274,192.168.1.3,5001,1,85.0-86.0,201872920,1614983360
20220705194549,192.168.1.2,37274,192.168.1.3,5001,1,86.0-87.0,196599304,1572794432
20220705194550,192.168.1.2,37274,192.168.1.3,5001,1,87.0-88.0,190965136,1527721088
20220705194551,192.168.1.2,37274,192.168.1.3,5001,1,88.0-89.0,192876496,1543011968
20220705194552,192.168.1.2,37274,192.168.1.3,5001,1,89.0-90.0,193835072,1550680576
20220705194553,192.168.1.2,37274,192.168.1.3,5001,1,90.0-91.0,191943984,1535551872
20220705194554,192.168.1.2,37274,192.168.1.3,5001,1,91.0-92.0,195665344,1565322752
20220705194555,192.168.1.2,37274,192.168.1.3,5001,1,92.0-93.0,196290880,1570327040
20220705194556,192.168.1.2,37274,192.168.1.3,5001,1,93.0-94.0,184866160,1478929280
20220705194557,192.168.1.2,37274,192.168.1.3,5001,1,94.0-95.0,196393688,1571149504
20220705194558,192.168.1.2,37274,192.168.1.3,5001,1,95.0-96.0,194630024,1557040192
20220705194559,192.168.1.2,37274,192.168.1.3,5001,1,96.0-97.0,195781184,1566249472
20220705194600,192.168.1.2,37274,192.168.1.3,5001,1,97.0-98.0,192581104,1540648832
20220705194601,192.168.1.2,37274,192.168.1.3,5001,1,98.0-99.0,193080664,1544645312
20220705194602,192.168.1.2,37274,192.168.1.3,5001,1,99.0-100.0,192304536,1538436288
20220705194603,192.168.1.2,37274,192.168.1.3,5001,1,100.0-101.0,199420008,1595360064
20220705194604,192.168.1.2,37274,192.168.1.3,5001,1,101.0-102.0,194330288,1554642304
20220705194605,192.168.1.2,37274,192.168.1.3,5001,1,102.0-103.0,190917352,1527338816
20220705194606,192.168.1.2,37274,192.168.1.3,5001,1,103.0-104.0,198772752,1590182016
20220705194607,192.168.1.2,37274,192.168.1.3,5001,1,104.0-105.0,198826328,1590610624
20220705194608,192.168.1.2,37274,192.168.1.3,5001,1,105.0-106.0,194058064,1552464512
20220705194609,192.168.1.2,37274,192.168.1.3,5001,1,106.0-107.0,197136512,1577092096
20220705194610,192.168.1.2,37274,192.168.1.3,5001,1,107.0-108.0,196211240,1569689920
