515.2,,,
1326,,,
589.3,,,
1064,,,940.0759328
1002,,,
405,,,
607.2,,,
523.5,,,
362.9,,,
365.9,,,
1349,,,
1378,,,
1300,,,
606.4,,,
296.3,,,
537.1,,,
232.3,,,
297.2,,,
525.1,,,
404.8,,,
171.9,,,
316.2,,,
497.6,,,
564.8,,,
1036,,,
1271,,,
1049,,,
1313,,,
576.1,,,
585.3,,,
859.4,,,
1434,,,
1423,,,
1458,,,
1139,,,
992.7,,,
89.73,,,
214.8,,,
941,,,
1345,,,
1565,,,
1492,,,
1357,,,
1249,,,
1240,,,
1333,,,
1577,,,
1554,,,
980.8,,,
214.7,,,
125.3,,,
385.5,,,
177.7,,,
636.5,,,
1129,,,
824.9,,,
774.6,,,
1176,,,
1377,,,
1154,,,
247.9,,,
248.1,,,
725.4,,,
963.1,,,
198.9,,,
225.7,,,
163.3,,,
207.6,,,
533.5,,,
297.3,,,
886.5,,,
1016,,,
1081,,,
909.3,,,
1113,,,
1612,,,
1495,,,
1391,,,
791.7,,,
211.9,,,
359.8,,,
226.1,,,
480.1,,,
1246,,,
1426,,,
1387,,,
683.7,,,
720.5,,,
1226,,,
1401,,,
1391,,,
1315,,,
139,,,
227.5,,,
268.6,,,
490.7,,,
447.6,,,
984.6,,,
1364,,,
421.8,,,
1011,,,
849.8,,,
1021,,,
1355,,,
1505,,,
1680,,,
756.5,,,
513.8,,,
306.5,,,
202,,,
587.9,,,
1059,,,
1341,,,
1136,,,
813.2,,,
964.8,,,
827.9,,,
695.2,,,
844.8,,,
838.6,,,
677.6,,,
407.6,,,
332.5,,,
382.2,,,
215.8,,,
919.2,,,
1498,,,
1350,,,
1116,,,
705.5,,,
846.8,,,
310.4,,,
1199,,,
1516,,,
1242,,,
303.9,,,
368.2,,,
348.1,,,
527.7,,,
855.7,,,
1228,,,
1529,,,
1395,,,
1282,,,
1031,,,
631,,,
912,,,
1552,,,
1749,,,
1398,,,
738.8,,,
110.7,,,
387.7,,,
211.8,,,
195.2,,,
910.6,,,
1241,,,
1442,,,
1139,,,
1175,,,
964.8,,,
496.2,,,
1094,,,
1124,,,
286.9,,,
1339,,,
351.4,,,
224.5,,,
190.2,,,
274.8,,,
432.1,,,
1101,,,
1579,,,
1541,,,
584,,,
1183,,,
1308,,,
1524,,,
1717,,,
1633,,,
1244,,,
556.4,,,
242.7,,,
233,,,
382.3,,,
944.4,,,
1196,,,
1255,,,
1312,,,
1198,,,
973.5,,,
890.1,,,
1467,,,
1748,,,
1580,,,
943.2,,,
665.2,,,
121.4,,,
152,,,
469.2,,,
1147,,,
1383,,,
1520,,,
1429,,,
1146,,,
566.5,,,
708.6,,,
1309,,,
1703,,,
1470,,,
1267,,,
1096,,,
190.4,,,
369.5,,,
98.3,,,
565.6,,,
1175,,,
1438,,,
1640,,,
1210,,,
826.1,,,
930.5,,,
1003,,,
1075,,,
1625,,,
1276,,,
960,,,
663.2,,,
280.3,,,
227.9,,,
779.7,,,
933.9,,,
1279,,,
1482,,,
774,,,
792,,,
763.1,,,
1386,,,
1660,,,
1518,,,
1287,,,
1013,,,
252.8,,,
343,,,
391.7,,,
929.8,,,
1389,,,
1683,,,
1483,,,
1219,,,
963.6,,,
975,,,
1365,,,
1516,,,
1516,,,
1055,,,
268.8,,,
307.8,,,
