Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706200747,192.168.1.2,54076,192.168.1.3,5001,1,67.0-68.0,191083872,1528670976
20220706200748,192.168.1.2,54076,192.168.1.3,5001,1,68.0-69.0,184505608,1476044864
20220706200749,192.168.1.2,54076,192.168.1.3,5001,1,69.0-70.0,180959456,1447675648
20220706200750,192.168.1.2,54076,192.168.1.3,5001,1,70.0-71.0,127587624,1020700992
20220706200751,192.168.1.2,54076,192.168.1.3,5001,1,71.0-72.0,143451912,1147615296
20220706200752,192.168.1.2,54076,192.168.1.3,5001,1,72.0-73.0,85873640,686989120
20220706200753,192.168.1.2,54076,192.168.1.3,5001,1,73.0-74.0,76865632,614925056
20220706200754,192.168.1.2,54076,192.168.1.3,5001,1,74.0-75.0,50406328,403250624
20220706200755,192.168.1.2,54076,192.168.1.3,5001,1,75.0-76.0,23033336,184266688
20220706200756,192.168.1.2,54076,192.168.1.3,5001,1,76.0-77.0,130312760,1042502080
20220706200757,192.168.1.2,54076,192.168.1.3,5001,1,77.0-78.0,87632960,701063680
20220706200758,192.168.1.2,54076,192.168.1.3,5001,1,78.0-79.0,103488560,827908480
20220706200759,192.168.1.2,54076,192.168.1.3,5001,1,79.0-80.0,162180344,1297442752
20220706200800,192.168.1.2,54076,192.168.1.3,5001,1,80.0-81.0,188011216,1504089728
20220706200801,192.168.1.2,54076,192.168.1.3,5001,1,81.0-82.0,194960168,1559681344
20220706200802,192.168.1.2,54076,192.168.1.3,5001,1,82.0-83.0,191528408,1532227264
20220706200803,192.168.1.2,54076,192.168.1.3,5001,1,83.0-84.0,177634848,1421078784
20220706200804,192.168.1.2,54076,192.168.1.3,5001,1,84.0-85.0,161215976,1289727808
20220706200805,192.168.1.2,54076,192.168.1.3,5001,1,85.0-86.0,97570584,780564672
20220706200806,192.168.1.2,54076,192.168.1.3,5001,1,86.0-87.0,112290952,898327616
20220706200807,192.168.1.2,54076,192.168.1.3,5001,1,87.0-88.0,72737384,581899072
20220706200808,192.168.1.2,54076,192.168.1.3,5001,1,88.0-89.0,39481168,315849344
20220706200809,192.168.1.2,54076,192.168.1.3,5001,1,89.0-90.0,14981008,119848064
20220706200810,192.168.1.2,54076,192.168.1.3,5001,1,90.0-91.0,89622512,716980096
20220706200811,192.168.1.2,54076,192.168.1.3,5001,1,91.0-92.0,112070856,896566848
20220706200812,192.168.1.2,54076,192.168.1.3,5001,1,92.0-93.0,70912904,567303232
20220706200813,192.168.1.2,54076,192.168.1.3,5001,1,93.0-94.0,171900768,1375206144
20220706200814,192.168.1.2,54076,192.168.1.3,5001,1,94.0-95.0,179743136,1437945088
20220706200815,192.168.1.2,54076,192.168.1.3,5001,1,95.0-96.0,196209792,1569678336
20220706200816,192.168.1.2,54076,192.168.1.3,5001,1,96.0-97.0,193832176,1550657408
20220706200817,192.168.1.2,54076,192.168.1.3,5001,1,97.0-98.0,198092192,1584737536
20220706200818,192.168.1.2,54076,192.168.1.3,5001,1,98.0-99.0,148399728,1187197824
20220706200819,192.168.1.2,54076,192.168.1.3,5001,1,99.0-100.0,106873984,854991872
20220706200820,192.168.1.2,54076,192.168.1.3,5001,1,100.0-101.0,186389456,1491115648
20220706200821,192.168.1.2,54076,192.168.1.3,5001,1,101.0-102.0,91040104,728320832
20220706200822,192.168.1.2,54076,192.168.1.3,5001,1,102.0-103.0,112361904,898895232
20220706200823,192.168.1.2,54076,192.168.1.3,5001,1,103.0-104.0,65936128,527489024
20220706200824,192.168.1.2,54076,192.168.1.3,5001,1,104.0-105.0,21918376,175347008
20220706200825,192.168.1.2,54076,192.168.1.3,5001,1,105.0-106.0,68687328,549498624
20220706200826,192.168.1.2,54076,192.168.1.3,5001,1,106.0-107.0,134426528,1075412224
20220706200827,192.168.1.2,54076,192.168.1.3,5001,1,107.0-108.0,102402560,819220480
20220706200828,192.168.1.2,54076,192.168.1.3,5001,1,108.0-109.0,99044648,792357184
